Ref_Key,Number,Date,Posted,Контрагент_Key,ДоговорКонтрагента_Key,СуммаДокумента,ВалютаДокумента_Key,Организация_Key,ДокументОснование,ДокументОснование_Type
a06ac470-984e-11f0-9de8-c2391847283c,00000000032,2025-09-23T12:26:31,true,079c7bdc-f347-11ef-8a5c-c2391847283c,07a07dae-f347-11ef-8a5c-c2391847283c,302126,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,10af294c-517d-11f0-949c-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
425a514a-9eaf-11f0-89d1-c2391847283c,00000000052,2025-09-25T00:00:00,false,670cd83e-f2af-11ef-8eb7-c2391847283c,671169c6-f2af-11ef-8eb7-c2391847283c,5277,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,,StandardODATA.Undefined
20aafe46-99fa-11f0-8a91-c2391847283c,00000000035,2025-09-25T15:26:41,false,4d9f5d60-4272-11ef-9a4e-c2391847283c,da301342-69b8-11ef-8d0c-c2391847283c,5277,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,e70b3192-45f8-11f0-8428-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
3f69db8e-9d21-11f0-866f-c2391847283c,00000000050,2025-09-29T15:44:17,true,56877a86-23f2-11f0-81d0-c2391847283c,d3f37632-23f2-11f0-9dc0-c2391847283c,50247,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,da93e7b4-9a8b-11f0-8a91-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
8f365080-9eb0-11f0-89d1-c2391847283c,00000000053,2025-10-01T15:22:40,true,670cd83e-f2af-11ef-8eb7-c2391847283c,671169c6-f2af-11ef-8eb7-c2391847283c,22951,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,09194338-9a08-11f0-8a91-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
53719ee4-99f9-11f0-9358-c2391847283c,00000000033,2025-10-07T00:00:00,true,670cd83e-f2af-11ef-8eb7-c2391847283c,671169c6-f2af-11ef-8eb7-c2391847283c,41522,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,06dbba58-94c5-11f0-8a91-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
c3463fa4-99f9-11f0-9358-c2391847283c,00000000034,2025-10-07T00:00:00,true,670cd83e-f2af-11ef-8eb7-c2391847283c,671169c6-f2af-11ef-8eb7-c2391847283c,45288,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,96384ec6-94c2-11f0-8a91-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
baaadeea-9db9-11f0-866f-c2391847283c,00000000051,2025-10-10T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,20606,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,a0aad0ae-f8c3-11ef-9f38-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
a6bfdc3a-9a14-11f0-8a91-c2391847283c,00000000041,2025-10-21T00:00:00,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,12113.34,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,e8dee9b4-58d6-11f0-9d13-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
74015ea8-ae65-11f0-9b6b-c2391847283c,00000000055,2025-10-21T15:05:20,true,d18c5ed8-23bf-11ef-9c49-c2391847283c,d1a774f2-23bf-11ef-9c49-c2391847283c,32025.13,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,d22b979c-66de-11f0-89d0-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
1500b860-a021-11f0-8c8d-c2391847283c,00000000054,2025-10-22T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,32906,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,a0aad0ae-f8c3-11ef-9f38-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
6fc90358-b3de-11f0-9b2b-c2391847283c,00000000057,2025-10-28T14:13:58,true,56dbc786-2590-11f0-82a2-c2391847283c,881ad8d2-2590-11f0-82a2-c2391847283c,292986,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,be2ce6b6-2713-11f0-814a-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
7bbf6228-b3df-11f0-9b2b-c2391847283c,00000000058,2025-10-28T14:21:28,true,407e89ae-152a-11f0-9fb1-c2391847283c,6e0902be-152a-11f0-8efa-c2391847283c,342360,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,a2206956-15c6-11f0-9fb1-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
8e617e9c-b3f9-11f0-93f4-c2391847283c,00000000059,2025-10-29T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,12652.5,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,8e30f404-ff03-11ee-9960-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
c57afa7c-b573-11f0-823f-c2391847283c,00000000060,2025-10-29T14:30:23,true,bc9d5896-4a7a-11f0-856f-c2391847283c,05a412be-4a7b-11f0-856f-c2391847283c,10321,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,16b0fed0-8f97-11f0-8478-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
dfc85b68-b573-11f0-823f-c2391847283c,00000000061,2025-10-29T14:30:24,true,bc9d5896-4a7a-11f0-856f-c2391847283c,05a412be-4a7b-11f0-856f-c2391847283c,16172,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,68ed7f32-8cab-11f0-8f52-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
9d6b3c58-b574-11f0-823f-c2391847283c,00000000062,2025-10-29T14:30:25,true,bc9d5896-4a7a-11f0-856f-c2391847283c,05a412be-4a7b-11f0-856f-c2391847283c,2717497,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,2d66db26-56fe-11f0-96de-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
09759a6c-af3d-11f0-885b-c2391847283c,00000000056,2025-11-05T00:00:00,true,653e1f80-e9b0-11ee-85e6-c2391847283c,65466eec-e9b0-11ee-85e6-c2391847283c,44325,5f1811eb-8b20-11ec-80df-ffdb01addc0c,f93c1694-df90-11ee-9c40-c2391847283c,8e30f404-ff03-11ee-9960-c2391847283c,StandardODATA.Document_РеализацияТоваровУслуг
